AMOUNT: 90.00; SHP_ITEM: 1; ORDER_ID: 3673; FK_ORDER_ID: 24390051; CUR_ID: 155; DATE: 13.09.2017 18:10; SIGN: C6D0AC2E8811AD680151FE0A3B9627BB; MY_SIGN: C6D0AC2E8811AD680151FE0A3B9627BB;
AMOUNT: 90.00; SHP_ITEM: 1; ORDER_ID: 3851; FK_ORDER_ID: 24417700; CUR_ID: 155; DATE: 14.09.2017 14:58; SIGN: CBAFF886A1B9CD0F5A867C9021B0A9C4; MY_SIGN: CBAFF886A1B9CD0F5A867C9021B0A9C4;
AMOUNT: 10.05; SHP_ITEM: 2; ORDER_ID: 4110; FK_ORDER_ID: 24457304; CUR_ID: 155; DATE: 15.09.2017 15:21; SIGN: 06A20FFDC65DA7F7EDD2554B770F6567; MY_SIGN: 06A20FFDC65DA7F7EDD2554B770F6567;
AMOUNT: 10.05; SHP_ITEM: 2; ORDER_ID: 4113; FK_ORDER_ID: 24457499; CUR_ID: 155; DATE: 15.09.2017 15:26; SIGN: EBB01566B053D647C5A707A3E8972104; MY_SIGN: EBB01566B053D647C5A707A3E8972104;
AMOUNT: 10.05; SHP_ITEM: 2; ORDER_ID: 4114; FK_ORDER_ID: 24457679; CUR_ID: 155; DATE: 15.09.2017 15:29; SIGN: E6ADED1E71B53A282821F5BDD8A971EB; MY_SIGN: E6ADED1E71B53A282821F5BDD8A971EB;
AMOUNT: 1000.00; SHP_ITEM: 1; ORDER_ID: 4284; FK_ORDER_ID: 24484971; CUR_ID: 94; DATE: 16.09.2017 11:09; SIGN: 0F3E067AB45E29EF33F8EC0EC74E278B; MY_SIGN: 0F3E067AB45E29EF33F8EC0EC74E278B;
AMOUNT: 2.00; SHP_ITEM: 1; ORDER_ID: 4786; FK_ORDER_ID: 24557620; CUR_ID: 155; DATE: 18.09.2017 12:03; SIGN: 52EA86F1DF20F223D417CE1AB648438B; MY_SIGN: 52EA86F1DF20F223D417CE1AB648438B;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 4806; FK_ORDER_ID: 24561289; CUR_ID: 155; DATE: 18.09.2017 13:50; SIGN: 40F03867D51E80B95D5086499BC42D06; MY_SIGN: 40F03867D51E80B95D5086499BC42D06;
AMOUNT: 5.00; SHP_ITEM: 1; ORDER_ID: 4855; FK_ORDER_ID: 24571060; CUR_ID: 155; DATE: 18.09.2017 17:45; SIGN: D756F3E3C9C4054839DA91827E7433A0; MY_SIGN: D756F3E3C9C4054839DA91827E7433A0;
AMOUNT: 6.00; SHP_ITEM: 2; ORDER_ID: 5481; FK_ORDER_ID: 24652201; CUR_ID: 155; DATE: 21.09.2017 07:08; SIGN: AA7F438CC292B51E8466E4003231B54F; MY_SIGN: AA7F438CC292B51E8466E4003231B54F;
AMOUNT: 6.00; SHP_ITEM: 2; ORDER_ID: 5483; FK_ORDER_ID: 24652223; CUR_ID: 155; DATE: 21.09.2017 07:10; SIGN: F32756771F01EF8B8BB6A6103359A045; MY_SIGN: F32756771F01EF8B8BB6A6103359A045;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 5558; FK_ORDER_ID: 24660727; CUR_ID: 155; DATE: 21.09.2017 13:29; SIGN: 9F4E34E4A0A30AA99B773412518FD59E; MY_SIGN: 9F4E34E4A0A30AA99B773412518FD59E;
AMOUNT: 10.00; SHP_ITEM: 1; ORDER_ID: 5646; FK_ORDER_ID: 24681289; CUR_ID: 155; DATE: 21.09.2017 23:03; SIGN: B5C4A471CFDDC7C3647208E984755154; MY_SIGN: B5C4A471CFDDC7C3647208E984755154;
AMOUNT: 21.00; SHP_ITEM: 2; ORDER_ID: 5735; FK_ORDER_ID: 24697304; CUR_ID: 155; DATE: 22.09.2017 15:08; SIGN: 9528536ECD071ADC7F1FD4473CADFDDD; MY_SIGN: 9528536ECD071ADC7F1FD4473CADFDDD;
AMOUNT: 3.00; SHP_ITEM: 12; ORDER_ID: 5769; FK_ORDER_ID: 24704475; CUR_ID: 155; DATE: 22.09.2017 18:18; SIGN: 66FAE878271F10573FB77DAB39D18CB5; MY_SIGN: 66FAE878271F10573FB77DAB39D18CB5;
AMOUNT: 3.00; SHP_ITEM: 12; ORDER_ID: 5893; FK_ORDER_ID: 24722306; CUR_ID: 155; DATE: 23.09.2017 10:31; SIGN: 20D74C4F4B8E06D3412A98974B7B21B6; MY_SIGN: 20D74C4F4B8E06D3412A98974B7B21B6;
AMOUNT: 100.00; SHP_ITEM: 1; ORDER_ID: 5985; FK_ORDER_ID: 24736661; CUR_ID: 94; DATE: 23.09.2017 17:20; SIGN: 9EC5215A6515A0066EEE7C88C36B61CC; MY_SIGN: 9EC5215A6515A0066EEE7C88C36B61CC;
AMOUNT: 11.00; SHP_ITEM: 2; ORDER_ID: 6237; FK_ORDER_ID: 24769469; CUR_ID: 155; DATE: 24.09.2017 16:14; SIGN: 6164912A9DD894E709F893C5C4AF2761; MY_SIGN: 6164912A9DD894E709F893C5C4AF2761;
AMOUNT: 3.00; SHP_ITEM: 12; ORDER_ID: 6274; FK_ORDER_ID: 24775658; CUR_ID: 155; DATE: 24.09.2017 19:13; SIGN: 8C0A0019A8FE4D8906A85768B6771555; MY_SIGN: 8C0A0019A8FE4D8906A85768B6771555;
AMOUNT: 1.00; SHP_ITEM: 1; ORDER_ID: 26554; FK_ORDER_ID: 26630110; CUR_ID: 155; DATE: 15.11.2017 14:17; SIGN: 8FE3B903D5A98345E061B7B80961CCAF; MY_SIGN: 8FE3B903D5A98345E061B7B80961CCAF;
AMOUNT: 1.00; SHP_ITEM: 1; ORDER_ID: 26712; FK_ORDER_ID: 26745030; CUR_ID: 155; DATE: 18.11.2017 00:11; SIGN: 3F0425A55148B537DCDD209B151A00FE; MY_SIGN: 3F0425A55148B537DCDD209B151A00FE;
AMOUNT: 60.00; SHP_ITEM: 1; ORDER_ID: 32015; FK_ORDER_ID: 29314196; CUR_ID: 155; DATE: 12.01.2018 14:04; SIGN: 4690BFE564E13BB023A8B068A3A7D1ED; MY_SIGN: 4690BFE564E13BB023A8B068A3A7D1ED;
AMOUNT: 120.00; SHP_ITEM: 40; ORDER_ID: 32126; FK_ORDER_ID: 29376908; CUR_ID: 155; DATE: 13.01.2018 13:39; SIGN: 05E38819E9FE77EA2EC25FA6DC86F6DB; MY_SIGN: 05E38819E9FE77EA2EC25FA6DC86F6DB;
AMOUNT: 15.00; SHP_ITEM: 2; ORDER_ID: 33584; FK_ORDER_ID: 30286400; CUR_ID: 155; DATE: 31.01.2018 08:50; SIGN: 99CE684FAB90A2147A7DA7F5900AB48C; MY_SIGN: 99CE684FAB90A2147A7DA7F5900AB48C;
AMOUNT: 10.00; SHP_ITEM: 1; ORDER_ID: 38847; FK_ORDER_ID: 34882983; CUR_ID: 84; DATE: 27.04.2018 09:04; SIGN: 0BB68DF56388BE9B98DBECB8A1A99800; MY_SIGN: 0BB68DF56388BE9B98DBECB8A1A99800;
AMOUNT: 21.00; SHP_ITEM: 1; ORDER_ID: 50324; FK_ORDER_ID: 45156648; CUR_ID: 133; DATE: 26.09.2018 23:25; SIGN: D6F164916205E641A00F1D4C427C5DEA; MY_SIGN: D6F164916205E641A00F1D4C427C5DEA;
AMOUNT: 3.15; SHP_ITEM: 1; ORDER_ID: 50490; FK_ORDER_ID: 45254093; CUR_ID: 155; DATE: 28.09.2018 15:25; SIGN: CC4CA94BAEAC61B506CF7A9B498AA34E; MY_SIGN: CC4CA94BAEAC61B506CF7A9B498AA34E;
AMOUNT: 2.10; SHP_ITEM: 2; ORDER_ID: 52652; FK_ORDER_ID: 47051838; CUR_ID: 45; DATE: 23.10.2018 18:49; SIGN: 669E4F0206AE9231D5F8AABA52925058; MY_SIGN: 669E4F0206AE9231D5F8AABA52925058;
